Column	Question
msoc_time_startrev	Please record the time that the survey was started
msoc_daterev	Date of assessment
msoc_7rev	In which country were you born?
msoc_intro	The following questions will help us to obtain important information about your personal and family history during different periods of your life. This is a very important survey for our research, so we ask that you try to give the most accurate answers possible.If you have a doubt or question about how to answer a question, please seek help from a family member, friend, or partner who can help you confirm the necessary information to answer these questions as accurately as possible. REMEMBER: If you are helping a participant complete this survey, the answers should be about the participant's life, not your own.
msoc_age	First, please enter your current age* must provide value
msoc_7arev	In which state were you born?
msoc_7brev	In which city/town were you born?
msoc_7crev	In which country were you born?
msoc_7drev	In which city/town were you born?
msoc_7erev	Approximately how old were you when you moved to the United States?
msoc_7frev	What were the main reasons that motivated you to move to the United States? (select all that apply)
msoc_7fgrev	What were the main reasons that motivated you to move to the United States? - Other:
msoc_7grev	Have you ever felt concerned or nervous about the legality of your immigration status or the immigration status of a family member?
msoc_live_table	Life Period Country State City (or town, community, etc)   0 - 10 years of age {msoc_live_country0} {msoc_live_state0} {msoc_live_city0}   11 - 24 years of age {msoc_live_country11} {msoc_live_state11} {msoc_live_city11}   25 - 34 years of age {msoc_live_country25} {msoc_live_state25} {msoc_live_city25}   35 - 45 years of age {msoc_live_country35} {msoc_live_state35} {msoc_live_city35}   46 - 65 years of age {msoc_live_country46} {msoc_live_state46} {msoc_live_city46}   66 until one year ago {msoc_live_country66} {msoc_live_state66} {msoc_live_city66}   The most recent 12 months {msoc_live_countryrec} {msoc_live_staterec} {msoc_live_cityrec}
msoc_live_country0	Country(0-10 years)
msoc_live_country11	Country(11-24 years)
msoc_live_country25	Country(25-34 years)
msoc_live_country35	Country(35-45 years)
msoc_live_country46	Country(46-65 years)
msoc_live_country66	Country(66 until one year ago)
msoc_live_countryrec	Country (Most recent 12 months)
msoc_live_state0	State (0-10 years)
msoc_live_state11	State (11-24 years)
msoc_live_state25	State(25-34 years)
msoc_live_state35	State(35-45 years)
msoc_live_state46	State(46-65 years)
msoc_live_state66	State(66 until one year ago)
msoc_live_staterec	State(most recent 12 months)
msoc_live_city0	City(0-10 years)
msoc_live_city11	City(11-24 years)
msoc_live_city25	City(25-34 years)
msoc_live_city35	City(35-45 years)
msoc_live_city46	City(46-65 years)
msoc_live_city66	City(66 until one year ago)
msoc_live_cityrec	City( Most recent 12 months)
msoc_37rev	Did you attend a private or public elementary school?
msoc_39rev	Was the school you attended for the majority of your elementary education located in a rural area or in an urban area?
msoc_38rev	Did you ever have to repeat a school year?
msoc_38arev	What year or years of school did you repeat?
msoc_38brev	Why did you repeat a school year?
msoc_38crev	Enter the total number of school years you completed (do not include unfinished school years or repeated school years)
