Column	Data Type
record_id	object
first_name	object
email_address	object
details_complete	int64
consent_16	float64
consent_17	float64
consent_20	object
consent_21	object
econsent_sdoh_complete	int64
msoc_time_startrev	object
msoc_daterev	object
msoc_age	float64
msoc_7rev	float64
msoc_7arev	object
msoc_7brev	object
msoc_7crev	object
msoc_7drev	object
msoc_7erev	float64
msoc_7frev___1	int64
msoc_7frev___2	int64
msoc_7frev___3	int64
msoc_7frev___4	int64
msoc_7frev___5	int64
msoc_7frev___6	int64
msoc_7fgrev	object
msoc_7grev	float64
msoc_live_country0	object
msoc_live_country11	object
msoc_live_country25	object
msoc_live_country35	object
msoc_live_country46	object
msoc_live_country66	object
msoc_live_countryrec	object
msoc_live_state0	object
msoc_live_state11	object
msoc_live_state25	object
msoc_live_state35	object
msoc_live_state46	object
msoc_live_state66	object
msoc_live_staterec	object
msoc_live_city0	object
msoc_live_city11	object
msoc_live_city25	object
msoc_live_city35	object
msoc_live_city46	object
msoc_live_city66	object
msoc_live_cityrec	object
msoc_37rev	float64
msoc_39rev	float64
msoc_38rev	float64
msoc_38arev	object
msoc_38brev	object
msoc_38crev	float64
msoc_ppted___1	int64
msoc_ppted___2	int64
msoc_ppted___3	int64
msoc_ppted___4	int64
msoc_ppted___5	int64
msoc_ppted___6	int64
msoc_ppted___7	int64
msoc_ppted___8	int64
msoc_ppted___9	int64
msoc_pptedqual	float64
msoc_work18	float64
msoc_work_age	float64
msoc_work_age_2___1	int64
msoc_work_age_2___2	int64
msoc_work_age_2___3	int64
msoc_work_age_2___4	int64
msoc_work_age_2___5	int64
msoc_work_age2b	object
msoc_num_job	float64
msoc_longestjob	object
msoc_longestjob_dur	object
msoc_longestjob_detail	object
msoc_20rev	float64
msoc_20arev	float64
msoc_44rev	float64
msoc_lang_spec	object
msoc_21rev	object
msoc_21arev	float64
msoc_21brev	float64
msoc_21crev	float64
msoc_21drev	float64
msoc_21erev	float64
msoc_22rev	object
msoc_22arev	float64
msoc_22brev	float64
msoc_22crev	float64
msoc_22drev	float64
msoc_22erev	float64
msoc_23rev	object
msoc_23arev	float64
msoc_23brev	float64
msoc_23crev	float64
msoc_23drev	float64
msoc_23erev	float64
msoc_24rev	object
msoc_24arev	float64
msoc_24brev	float64
msoc_24crev	float64
msoc_24drev	float64
msoc_24erev	float64
msoc_21frev	float64
msoc_21grev	float64
msoc_21hrev	float64
msoc_21irev	float64
msoc_22frev	float64
msoc_22grev	float64
msoc_22hrev	float64
msoc_22irev	float64
msoc_23frev	float64
msoc_23grev	float64
msoc_23hrev	float64
msoc_23irev	float64
msoc_24frev	float64
msoc_24grev	float64
msoc_24hrev	float64
msoc_24irev	float64
msoc_21jrev	object
msoc_21krev	object
msoc_21lrev	object
msoc_21mrev	object
msoc_21nrev	object
msoc_21orev	object
msoc_22jrev	object
msoc_22krev	object
msoc_22lrev	object
msoc_22mrev	object
msoc_22nrev	object
msoc_22orev	object
msoc_23jrev	object
msoc_23krev	object
msoc_23lrev	object
msoc_23mrev	object
msoc_23nrev	object
msoc_23orev	object
msoc_24jrev	float64
msoc_24krev	float64
msoc_24lrev	float64
msoc_24mrev	float64
msoc_24nrev	float64
msoc_24orev	float64
msoc_21prev	object
msoc_21qrev	object
msoc_21rrev	object
msoc_21srev	object
msoc_22prev	object
msoc_22qrev	object
msoc_22rrev	object
msoc_22srev	object
msoc_23prev	object
msoc_23qrev	object
msoc_23rrev	float64
msoc_23srev	object
msoc_24prev	float64
msoc_24qrev	float64
msoc_24rrev	float64
msoc_24srev	float64
msoc_9rev	float64
msoc_race	object
msoc_10rev	float64
msoc_ethni	object
msoc_10rev_2	float64
msoc_cult	object
msoc_11rev___1	int64
msoc_11rev___2	int64
msoc_11rev___3	int64
msoc_11rev___4	int64
msoc_11rev___5	int64
msoc_11rev___6	int64
msoc_11rev___7	int64
msoc_11rev___8	int64
msoc_cat_other	object
msoc_12rev	float64
msoc_sex_other	object
msoc_13rev	float64
msoc_13arev	object
msoc_14rev	float64
msoc_14arev	object
msoc_15rev	float64
msoc_16rev	float64
msoc_child	float64
msoc_43rev	float64
msoc_8rev	float64
msoc_8arev	float64
msoc_contact	float64
msoc_household_0	float64
msoc_household_1	float64
msoc_household_2	float64
msoc_household_3	float64
msoc_household_4	float64
msoc_household_5	float64
msoc_household_6	float64
msoc_household_7___1	int64
msoc_household_7___2	int64
msoc_household_7___3	int64
msoc_household_7___4	int64
msoc_household_7___5	int64
msoc_household_7___6	int64
msoc_household_7___7	int64
msoc_household_7___12	int64
msoc_household_7___13	int64
msoc_household_7___14	int64
msoc_household_8___1	int64
msoc_household_8___2	int64
msoc_household_8___3	int64
msoc_household_8___4	int64
msoc_household_8___5	int64
msoc_household_8___6	int64
msoc_household_8___7	int64
msoc_household_8___8	int64
msoc_household_8___9	int64
msoc_household_8___10	int64
msoc_household_8___12	int64
msoc_household_8___13	int64
msoc_household_8___14	int64
msoc_household_9___1	int64
msoc_household_9___2	int64
msoc_household_9___3	int64
msoc_household_9___4	int64
msoc_household_9___5	int64
msoc_household_9___6	int64
msoc_household_9___7	int64
msoc_household_9___8	int64
msoc_household_9___9	int64
msoc_household_9___10	int64
msoc_household_9___12	int64
msoc_household_9___13	int64
msoc_household_9___14	int64
msoc_household_10___1	int64
msoc_household_10___2	int64
msoc_household_10___3	int64
msoc_household_10___4	int64
msoc_household_10___5	int64
msoc_household_10___6	int64
msoc_household_10___7	int64
msoc_household_10___8	int64
msoc_household_10___9	int64
msoc_household_10___10	int64
msoc_household_10___11	int64
msoc_household_10___12	int64
msoc_household_10___13	int64
msoc_household_10___14	int64
msoc_household_11___1	int64
msoc_household_11___2	int64
msoc_household_11___3	int64
msoc_household_11___4	int64
msoc_household_11___5	int64
msoc_household_11___6	int64
msoc_household_11___7	int64
msoc_household_11___8	int64
msoc_household_11___9	int64
msoc_household_11___10	int64
msoc_household_11___11	int64
msoc_household_11___12	int64
msoc_household_11___13	int64
msoc_household_11___14	int64
msoc_household_12___1	int64
msoc_household_12___2	int64
msoc_household_12___3	int64
msoc_household_12___4	int64
msoc_household_12___5	int64
msoc_household_12___6	int64
msoc_household_12___7	int64
msoc_household_12___8	int64
msoc_household_12___9	int64
msoc_household_12___10	int64
msoc_household_12___11	int64
msoc_household_12___12	int64
msoc_household_12___13	int64
msoc_household_12___14	int64
msoc_household_13___1	int64
msoc_household_13___2	int64
msoc_household_13___3	int64
msoc_household_13___4	int64
msoc_household_13___5	int64
msoc_household_13___6	int64
msoc_household_13___7	int64
msoc_household_13___8	int64
msoc_household_13___9	int64
msoc_household_13___10	int64
msoc_household_13___11	int64
msoc_household_13___12	int64
msoc_household_13___13	int64
msoc_household_13___14	int64
msoc_1arev	float64
msoc_1arevyears	float64
msoc_1rev___1	int64
msoc_1rev___2	int64
msoc_1rev___3	int64
msoc_1rev___4	int64
msoc_1rev___5	int64
msoc_1rev___6	int64
msoc_1rev___7	int64
msoc_1rev___8	int64
msoc_1rev___9	int64
msoc_2rev	object
msoc_2rev_des	object
msoc_3rev	float64
msoc_4rev	float64
msoc_4arevyears	float64
msoc_4arev___1	int64
msoc_4arev___2	int64
msoc_4arev___3	int64
msoc_4arev___4	int64
msoc_4arev___5	int64
msoc_4arev___6	int64
msoc_4arev___7	int64
msoc_4arev___8	int64
msoc_4arev___9	int64
msoc_5rev	object
msoc_5rev_des	object
msoc_6rev	float64
msoc_35rev	float64
msoc_35arev	object
msoc_36rev	float64
msoc_elec_0	float64
msoc_elec_11	float64
msoc_elec_25	float64
msoc_elec_35	float64
msoc_elec_46	float64
msoc_elec_66	float64
msoc_elec_rec	float64
msoc_rad_0	float64
msoc_rad_11	float64
msoc_rad_25	float64
msoc_rad_35	float64
msoc_rad_46	float64
msoc_rad_66	float64
msoc_rad_rec	float64
msoc_tv_0	float64
msoc_tv_11	float64
msoc_tv_25	float64
msoc_tv_35	float64
msoc_tv_46	float64
msoc_tv_66	float64
msoc_tv_rec	float64
msoc_ref_0	float64
msoc_ref_11	float64
msoc_ref_25	float64
msoc_ref_35	float64
msoc_ref_46	float64
msoc_ref_66	float64
msoc_ref_rec	float64
msoc_wash_0	float64
msoc_wash_11	float64
msoc_wash_25	float64
msoc_wash_35	float64
msoc_wash_46	float64
msoc_wash_66	float64
msoc_wash_rec	float64
msoc_comp_0	float64
msoc_comp_11	float64
msoc_comp_25	float64
msoc_comp_35	float64
msoc_comp_46	float64
msoc_comp_66	float64
msoc_comp_rec	float64
msoc_line_0	float64
msoc_line_11	float64
msoc_line_25	float64
msoc_line_35	float64
msoc_line_46	float64
msoc_line_66	float64
msoc_line_rec	float64
msoc_runn_0	float64
msoc_runn_11	float64
msoc_runn_25	float64
msoc_runn_35	float64
msoc_runn_46	float64
msoc_runn_66	float64
msoc_runn_rec	float64
msoc_wat_0	float64
msoc_wat_11	float64
msoc_wat_25	float64
msoc_wat_35	float64
msoc_wat_46	float64
msoc_wat_66	float64
msoc_wat_rec	float64
msoc_bath_0	float64
msoc_bath_11	float64
msoc_bath_25	float64
msoc_bath_35	float64
msoc_bath_46	float64
msoc_bath_66	float64
msoc_bath_rec	float64
msoc_car_0	float64
msoc_car_11	float64
msoc_car_25	float64
msoc_car_35	float64
msoc_car_46	float64
msoc_car_66	float64
msoc_car_rec	float64
msoc_inter_0	float64
msoc_inter_11	float64
msoc_inter_25	float64
msoc_inter_35	float64
msoc_inter_46	float64
msoc_inter_66	float64
msoc_inter_rec	float64
msoc_sound_0	float64
msoc_sound_11	float64
msoc_sound_25	float64
msoc_sound_35	float64
msoc_sound_46	float64
msoc_sound_66	float64
msoc_sound_rec	float64
msoc_smrt_0	float64
msoc_smrt_11	float64
msoc_smrt_25	float64
msoc_smrt_35	float64
msoc_smrt_46	float64
msoc_smrt_66	float64
msoc_smrt_rec	float64
msoc_bedr_0	float64
msoc_bedr_11	float64
msoc_bedr_25	float64
msoc_bedr_35	float64
msoc_bedr_46	float64
msoc_bedr_66	float64
msoc_bedr_rec	float64
msoc_ob1_0	object
msoc_ob1_11	object
msoc_ob1_25	object
msoc_ob1_35	object
msoc_ob1_46	object
msoc_ob1_66	object
msoc_ob1_rec	object
msoc_ob2_0	object
msoc_ob2_11	object
msoc_ob2_25	object
msoc_ob2_35	object
msoc_ob2_46	object
msoc_ob2_66	object
msoc_ob2_rec	object
msoc_ob3_0	object
msoc_ob3_11	object
msoc_ob3_25	object
msoc_ob3_35	object
msoc_ob3_46	object
msoc_ob3_66	object
msoc_ob3_rec	object
msoc_ob4_0	object
msoc_ob4_11	object
msoc_ob4_25	object
msoc_ob4_35	object
msoc_ob4_46	object
msoc_ob4_66	object
msoc_ob4_rec	object
msoc_ob5_0	object
msoc_ob5_11	object
msoc_ob5_25	object
msoc_ob5_35	object
msoc_ob5_46	object
msoc_ob5_66	object
msoc_ob5_rec	object
msoc_bas	float64
msoc_bas_0	float64
msoc_bas_11	float64
msoc_bas_25	float64
msoc_bas_35	float64
msoc_bas_46	float64
msoc_bas_66	float64
msoc_bas_rec	float64
msoc_fin	float64
msoc_fin_0	float64
msoc_fin_11	float64
msoc_fin_25	float64
msoc_fin_35	float64
msoc_fin_46	float64
msoc_fin_66	float64
msoc_fin_rec	float64
msoc_care	float64
msoc_care_0	float64
msoc_care_11	float64
msoc_care_25	float64
msoc_care_35	float64
msoc_care_46	float64
msoc_care_66	float64
msoc_care_rec	float64
msoc_eat	float64
msoc_eat_0	float64
msoc_eat_11	float64
msoc_eat_25	float64
msoc_eat_35	float64
msoc_eat_46	float64
msoc_eat_66	float64
msoc_eat_rec	float64
msoc_bal	float64
msoc_bal_0	float64
msoc_bal_11	float64
msoc_bal_25	float64
msoc_bal_35	float64
msoc_bal_46	float64
msoc_bal_66	float64
msoc_bal_rec	float64
msoc_ladder_0	float64
msoc_ladder_11	float64
msoc_ladder_25	float64
msoc_ladder_35	float64
msoc_ladder_46	float64
msoc_ladder_66	float64
msoc_ladder_rec	float64
msoc_74rev	float64
msoc_74arev	object
msoc_75rev___1	int64
msoc_75rev___2	int64
msoc_75rev___3	int64
msoc_75rev___4	int64
msoc_75rev___5	int64
msoc_75rev___6	int64
msoc_75rev___7	int64
msoc_75rev___8	int64
msoc_75rev___9	int64
msoc_75rev___10	int64
msoc_75rev___11	int64
msoc_75rev___12	int64
msoc_75reva	object
msoc_76rev	float64
msoc_76arev	float64
msoc_76brev	float64
msoc_77rev	float64
msoc_79rev	float64
msoc_80rev	float64
msoc_81rev	float64
msoc_81arev	float64
msoc_82rev	float64
msoc_82arev___1	int64
msoc_82arev___2	int64
msoc_82arev___3	int64
msoc_82arev___4	int64
msoc_82arev___5	int64
msoc_82arev___6	int64
msoc_82arev___7	int64
msoc_82arev___8	int64
msoc_82arev___9	int64
msoc_82arev___10	int64
msoc_82brev	object
msoc_83rev	float64
msoc_84rev___1	int64
msoc_84rev___2	int64
msoc_84rev___3	int64
msoc_84rev___4	int64
msoc_insur_type___1	int64
msoc_insur_type___2	int64
msoc_insur_type___3	int64
msoc_insur_type___4	int64
msoc_insur_type___5	int64
msoc_insur_type___6	int64
msoc_insur_type___7	int64
msoc_insur_type___8	int64
msoc_87rev	float64
msoc_91rev	float64
msoc_doc_why___1	int64
msoc_doc_why___2	int64
msoc_doc_why___3	int64
msoc_doc_why___4	int64
msoc_doc_why___5	int64
msoc_doc_why___6	int64
msoc_doc_why___7	int64
msoc_doc_why___8	int64
msoc_doc_why_spec	object
msoc_25rev	float64
msoc_27rev	float64
msoc_30rev	float64
msoc_31rev	float64
msoc_31rev_2	float64
msoc_31rev_3	float64
msoc_32rev	float64
msoc_33rev	float64
msoc_34rev	float64
msoc_hit	float64
msoc_hit_period___1	int64
msoc_hit_period___2	int64
msoc_hit_period___3	int64
msoc_hit_period___4	int64
msoc_hit_period___5	int64
msoc_hit_period___6	int64
msoc_hit_period___7	int64
msoc_hit_relat___1	int64
msoc_hit_relat___2	int64
msoc_hit_relat___3	int64
msoc_hit_relat___4	int64
msoc_hit_relat___5	int64
msoc_hit_relat___6	int64
msoc_hit_relat___7	int64
msoc_hit_relat___8	int64
msoc_hit_relat_s	object
msoc_att	float64
msoc_att_period___1	int64
msoc_att_period___2	int64
msoc_att_period___3	int64
msoc_att_period___4	int64
msoc_att_period___5	int64
msoc_att_period___6	int64
msoc_att_period___7	int64
msoc_att_relat___1	int64
msoc_att_relat___2	int64
msoc_att_relat___3	int64
msoc_att_relat___4	int64
msoc_att_relat___5	int64
msoc_att_relat___6	int64
